Continente,Pais,Mes,Numero de Visitantes
America do Norte,Canada,Janeiro,1209
America do Norte,Canada,Fevereiro,1496
America do Norte,Canada,Marco,1633
America do Norte,Canada,Abril,722
America do Norte,Canada,Maio,553
America do Norte,Canada,Junho,503
America do Norte,Canada,Julho,1073
America do Norte,Canada,Agosto,1391
America do Norte,Canada,Setembro,1848
America do Norte,Canada,Outubro,1005
America do Norte,Canada,Novembro,927
America do Norte,Canada,Dezembro,1164
America do Norte,Estados Unidos,Janeiro,8882
America do Norte,Estados Unidos,Fevereiro,10285
America do Norte,Estados Unidos,Marco,14123
America do Norte,Estados Unidos,Abril,7313
America do Norte,Estados Unidos,Maio,7843
America do Norte,Estados Unidos,Junho,9219
America do Norte,Estados Unidos,Julho,8922
America do Norte,Estados Unidos,Agosto,9620
America do Norte,Estados Unidos,Setembro,8236
America do Norte,Estados Unidos,Outubro,9452
America do Norte,Estados Unidos,Novembro,9756
America do Norte,Estados Unidos,Dezembro,13333
America do Norte,Mexico,Janeiro,479
America do Norte,Mexico,Fevereiro,630
America do Norte,Mexico,Marco,964
America do Norte,Mexico,Abril,872
America do Norte,Mexico,Maio,802
America do Norte,Mexico,Junho,706
America do Norte,Mexico,Julho,724
America do Norte,Mexico,Agosto,693
America do Norte,Mexico,Setembro,660
America do Norte,Mexico,Outubro,608
America do Norte,Mexico,Novembro,476
America do Norte,Mexico,Dezembro,507
America do Sul,Argentina,Janeiro,51022
America do Sul,Argentina,Fevereiro,44972
America do Sul,Argentina,Marco,47236
America do Sul,Argentina,Abril,27788
America do Sul,Argentina,Maio,20291
America do Sul,Argentina,Junho,18614
America do Sul,Argentina,Julho,24658
America do Sul,Argentina,Agosto,22450
America do Sul,Argentina,Setembro,23317
America do Sul,Argentina,Outubro,25085
America do Sul,Argentina,Novembro,27249
America do Sul,Argentina,Dezembro,34360
America do Sul,Bolivia,Janeiro,132
America do Sul,Bolivia,Fevereiro,95
America do Sul,Bolivia,Marco,138
America do Sul,Bolivia,Abril,72
America do Sul,Bolivia,Maio,78
America do Sul,Bolivia,Junho,122
America do Sul,Bolivia,Julho,155
America do Sul,Bolivia,Agosto,84
America do Sul,Bolivia,Setembro,193
America do Sul,Bolivia,Outubro,168
America do Sul,Bolivia,Novembro,69
America do Sul,Bolivia,Dezembro,634
America do Sul,Chile,Janeiro,19037
America do Sul,Chile,Fevereiro,21203
America do Sul,Chile,Marco,13301
America do Sul,Chile,Abril,8811
America do Sul,Chile,Maio,10116
America do Sul,Chile,Junho,12553
America do Sul,Chile,Julho,10734
America do Sul,Chile,Agosto,9885
America do Sul,Chile,Setembro,12720
America do Sul,Chile,Outubro,12516
America do Sul,Chile,Novembro,9742
America do Sul,Chile,Dezembro,13123
America do Sul,Colombia,Janeiro,2288
America do Sul,Colombia,Fevereiro,1882
America do Sul,Colombia,Marco,2196
America do Sul,Colombia,Abril,2028
America do Sul,Colombia,Maio,1775
America do Sul,Colombia,Junho,4643
America do Sul,Colombia,Julho,1757
America do Sul,Colombia,Agosto,2293
America do Sul,Colombia,Setembro,2519
America do Sul,Colombia,Outubro,2538
America do Sul,Colombia,Novembro,2489
America do Sul,Colombia,Dezembro,2599
America do Sul,Equador,Janeiro,264
America do Sul,Equador,Fevereiro,381
America do Sul,Equador,Marco,814
America do Sul,Equador,Abril,560
America do Sul,Equador,Maio,353
America do Sul,Equador,Junho,407
America do Sul,Equador,Julho,417
America do Sul,Equador,Agosto,669
America do Sul,Equador,Setembro,553
America do Sul,Equador,Outubro,658
America do Sul,Equador,Novembro,411
America do Sul,Equador,Dezembro,263
America do Sul,Guiana,Janeiro,5
America do Sul,Guiana,Fevereiro,5
America do Sul,Guiana,Marco,10
America do Sul,Guiana,Abril,7
America do Sul,Guiana,Maio,4
America do Sul,Guiana,Junho,11
America do Sul,Guiana,Julho,4
America do Sul,Guiana,Agosto,3
America do Sul,Guiana,Setembro,6
America do Sul,Guiana,Outubro,
America do Sul,Guiana,Novembro,5
America do Sul,Guiana,Dezembro,1
America do Sul,Paraguai,Janeiro,1525
America do Sul,Paraguai,Fevereiro,708
America do Sul,Paraguai,Marco,281
America do Sul,Paraguai,Abril,214
America do Sul,Paraguai,Maio,154
America do Sul,Paraguai,Junho,263
America do Sul,Paraguai,Julho,197
America do Sul,Paraguai,Agosto,187
America do Sul,Paraguai,Setembro,209
America do Sul,Paraguai,Outubro,165
America do Sul,Paraguai,Novembro,124
America do Sul,Paraguai,Dezembro,330
America do Sul,Peru,Janeiro,1947
America do Sul,Peru,Fevereiro,2134
America do Sul,Peru,Marco,1923
America do Sul,Peru,Abril,1759
America do Sul,Peru,Maio,1456
America do Sul,Peru,Junho,3663
America do Sul,Peru,Julho,3240
America do Sul,Peru,Agosto,2213
America do Sul,Peru,Setembro,1814
America do Sul,Peru,Outubro,1958
America do Sul,Peru,Novembro,
America do Sul,Peru,Dezembro,1555
America do Sul,Suriname,Janeiro,
America do Sul,Suriname,Fevereiro,4
America do Sul,Suriname,Marco,
America do Sul,Suriname,Abril,
America do Sul,Suriname,Maio,1
America do Sul,Suriname,Junho,5
America do Sul,Suriname,Julho,2
America do Sul,Suriname,Agosto,3
America do Sul,Suriname,Setembro,
America do Sul,Suriname,Outubro,
America do Sul,Suriname,Novembro,1
America do Sul,Suriname,Dezembro,
America do Sul,Uruguai,Janeiro,3418
America do Sul,Uruguai,Fevereiro,4050
America do Sul,Uruguai,Marco,3159
America do Sul,Uruguai,Abril,4300
America do Sul,Uruguai,Maio,2064
America do Sul,Uruguai,Junho,2438
America do Sul,Uruguai,Julho,2089
America do Sul,Uruguai,Agosto,2533
America do Sul,Uruguai,Setembro,3215
America do Sul,Uruguai,Outubro,1752
America do Sul,Uruguai,Novembro,1673
America do Sul,Uruguai,Dezembro,2415
America do Sul,Venezuela,Janeiro,568
America do Sul,Venezuela,Fevereiro,520
America do Sul,Venezuela,Marco,830
America do Sul,Venezuela,Abril,471
America do Sul,Venezuela,Maio,483
America do Sul,Venezuela,Junho,490
America do Sul,Venezuela,Julho,331
America do Sul,Venezuela,Agosto,502
America do Sul,Venezuela,Setembro,579
America do Sul,Venezuela,Outubro,708
America do Sul,Venezuela,Novembro,612
America do Sul,Venezuela,Dezembro,871